Date,Rolling_Volatility,Rolling_Sharpe,Rolling_Sortino
2021-02-02,0.5902043789883945,2.2455984068023604,2.818118109908317
2021-02-03,0.5876878267832013,2.1386753708327135,2.6801280311854283
2021-02-04,0.5858601395733793,2.224581023051739,2.7687505478197565
2021-02-05,0.5858232161820827,2.1930931947028744,2.7344216356004765
2021-02-08,0.5872211863606539,2.2820696535524134,2.8437031696129136
2021-02-09,0.5864216302274955,2.1925255621975603,2.7392545798979078
2021-02-10,0.5863611044139045,2.1834758025074765,2.727666611364412
2021-02-11,0.5867054865697755,2.2098239442940084,2.7622028857018344
2021-02-12,0.5869267467426411,2.172435347634383,2.726509351700513
2021-02-16,0.5853852171439207,2.1137078611583067,2.6458361348703296
2021-02-17,0.5848979681079725,2.0181884576840994,2.5355912034760517
2021-02-18,0.5820441695842286,1.905971778504217,2.389838858596757
2021-02-19,0.5815643417799448,1.9445633526918678,2.4252053166612706
2021-02-22,0.583161299664979,1.9054265127462933,2.374372699473788
2021-02-23,0.5785189189499491,2.0155635007360875,2.520053176301867
2021-02-24,0.5775589457687028,2.1524801743831845,2.6773935384402785
2021-02-25,0.5840154901315584,1.9766818511158617,2.455110255182148
2021-02-26,0.5783500172995064,2.161768176683196,2.6855108343338285
2021-03-01,0.5774198374967595,2.133964765391058,2.6467077016012954
2021-03-02,0.5770030701015714,1.9868492541394738,2.4730647440997457
2021-03-03,0.5784077703315537,1.9474778309663154,2.42441086673459
2021-03-04,0.5781185395267169,1.79451639435869,2.2416463692936612
2021-03-05,0.5766938322311096,1.8534816504541267,2.306381259006844
2021-03-08,0.5801460276106527,1.7751855312838523,2.202169631766567
2021-03-09,0.5821770286518759,2.1296725696545673,2.7106088291333714
2021-03-10,0.5793339503017327,2.022074445436408,2.5674691265467637
2021-03-11,0.5785441202518629,2.1769466290921833,2.7530458394777386
2021-03-12,0.5648650968622903,2.4254394517727387,3.1642755345143856
2021-03-15,0.5612271565324868,2.356345746349698,3.05433597664504
2021-03-16,0.5279426165900791,2.840300450778278,4.247621390181456
2021-03-17,0.524726978219017,2.760943276962131,4.1037951477162045
2021-03-18,0.518377236810821,2.874544886094432,4.408699831535176
2021-03-19,0.5114406827776499,2.752126653226982,4.16446485473805
2021-03-22,0.5109706802511627,2.8511699475715497,4.289768832601728
2021-03-23,0.5106975737440568,2.778277413984821,4.191506953616
2021-03-24,0.4855089974775048,2.4975169581265777,3.590146640534183
2021-03-25,0.4855142206276048,2.4738807096575197,3.5571851843623508
2021-03-26,0.48500639720526345,2.434962112326905,3.4975621531163985
2021-03-29,0.48437332349911927,2.484519627457863,3.5473328182480364
2021-03-30,0.4837958830787237,2.4445983325788565,3.486173262477207
2021-03-31,0.485158903633198,2.5064961251989355,3.5845144187302447
2021-04-01,0.4781176887134888,2.7533358573320093,4.0015459801540105
2021-04-05,0.47822305210872834,2.759586492342162,4.011514134836344
2021-04-06,0.47793221514556955,2.779696272676794,4.029814702528013
2021-04-07,0.46975745788791745,2.6415265543892312,3.764004133020176
2021-04-08,0.4696844492044201,2.6884223222301276,3.8197180089517313
2021-04-09,0.4693418836862502,2.6431084600312387,3.7525969822983622
2021-04-12,0.47153355044799194,2.732010552396654,3.8969299547394645
2021-04-13,0.4703311041592479,2.714103215341843,3.861514663809735
2021-04-14,0.46791384646055445,2.5282558538386377,3.593015665676585
2021-04-15,0.46939296589973606,2.608526100208736,3.7188097077930964
2021-04-16,0.46820961415012474,2.5077644509378803,3.5776155962207787
2021-04-19,0.4697905031326594,2.43066236062063,3.4869923477327935
2021-04-20,0.469494816000528,2.450851697503744,3.506721510510365
2021-04-21,0.46422734222606143,2.663785508698939,3.840408661550776
2021-04-22,0.46208993587144176,2.468034621238811,3.5527698477325154
2021-04-23,0.4620183219911737,2.5543178219656695,3.6599483444281424
2021-04-26,0.46177243104208016,2.536899661997236,3.6330561946289555
2021-04-27,0.46021335469681274,2.401124170026666,3.44302788786049
2021-04-28,0.4594961686356113,2.4384323649798945,3.485864944124434
2021-04-29,0.4589200107780159,2.3661107855732726,3.3847292788153323
2021-04-30,0.45821118240250985,2.4165004692357757,3.434591499641608
2021-05-03,0.4550777739700986,2.5104928708594527,3.589023085227973
2021-05-04,0.4542543644200631,2.3510168345321056,3.368502877615652
2021-05-05,0.45423275886963954,2.3409995824292116,3.3539907715092165
2021-05-06,0.4541183525718054,2.3075943985304708,3.3050986653944623
2021-05-07,0.454181364635001,2.312236173088924,3.3122064685187897
2021-05-10,0.4559423387777166,2.1326820661197656,3.0591757840009515
2021-05-11,0.45572508665229,2.0824323332642023,2.9898236516412164
2021-05-12,0.45701778340041876,2.040362814441181,2.9251472035416386
2021-05-13,0.4571883652153382,2.0283564259086693,2.912064979716545
2021-05-14,0.45795309102697435,2.050809023025203,2.9492245056794535
2021-05-17,0.456825908147787,1.9486789113001948,2.8049384388036787
2021-05-18,0.4563431549452652,1.8769038730478427,2.7053965408066944
2021-05-19,0.4564187199335214,1.8605493112531497,2.6872434024089644
2021-05-20,0.45768785619127944,1.9072569856185286,2.762364445183339
2021-05-21,0.45761240827812927,1.9643022891283954,2.8346799528089432
2021-05-24,0.4590670821135722,2.014715867247619,2.9166739096040892
2021-05-25,0.4582829587756091,2.0704326547059346,2.9791327946075317
2021-05-26,0.4579315542960043,2.1254394682213973,3.043068426481433
2021-05-27,0.4578306285584114,2.1359909170406173,3.0530556366567985
2021-05-28,0.4569977719340948,2.1150038764654937,3.0175586793569433
2021-06-01,0.45681566889537567,2.078781387101043,2.96469680428394
2021-06-02,0.45684402350716113,2.116122708462286,3.013280210334629
2021-06-03,0.4569306930413538,2.106906481509777,3.0046361411421074
2021-06-04,0.45815532294004013,2.19958738031796,3.1378880257438433
2021-06-07,0.45788675012781993,2.168172093731178,3.09125842360269
2021-06-08,0.4579371161620497,2.1244826843381155,3.037291709189142
2021-06-09,0.4578771384004154,2.0757339950801175,2.974121484298485
2021-06-10,0.455366702569159,1.9920110147000325,2.8385140789534113
2021-06-11,0.4513215501368894,2.1736044114236437,3.10610001261759
2021-06-14,0.451360594352852,2.20032274279046,3.1436591336222803
2021-06-15,0.4506788759805331,2.082575567118255,2.9844866086915216
2021-06-16,0.45044657154054907,2.115389088483185,3.01914235310867
2021-06-17,0.45167126167614213,2.161103508696907,3.092773191237777
2021-06-18,0.451670447469449,2.1616715554155572,3.0935805509543526
2021-06-21,0.451855597982988,2.135301462219831,3.0669133841849368
2021-06-22,0.45187980259759186,2.136831963962781,3.0692760329766227
2021-06-23,0.45218953124342703,2.1917554340478427,3.1461260664280077
2021-06-24,0.45120126127428545,2.2944935503358654,3.273604249067487
2021-06-25,0.4508223447908296,2.214341177869632,3.167431869928114
2021-06-28,0.45096551097897114,2.3806727378563046,3.397105576459521
2021-06-29,0.4507678298928005,2.335308470921211,3.333972546851165
2021-06-30,0.4490606152142395,2.244220797861855,3.1939886347869932
2021-07-01,0.44896845047715156,2.229384079250214,3.1722217298154343
2021-07-02,0.448257098464694,2.1885443073489403,3.1091762075657168
2021-07-06,0.44511370368526737,2.0732548970184332,2.926881791516018
2021-07-07,0.44562420053088564,2.016703903320452,2.863157943120132
2021-07-08,0.4456271069387662,1.9457764657965313,2.7733173235817463
2021-07-09,0.44505049470453817,1.9050938979335303,2.7118189531729997
2021-07-12,0.44498758495611634,1.9029914483760768,2.708443303043578
2021-07-13,0.44351769427177173,1.957351639826168,2.7874002407655563
2021-07-14,0.44357377890280564,1.8500124605801274,2.6465157199973426
2021-07-15,0.44492377579698256,1.7818401631020613,2.5584391927456513
2021-07-16,0.445992642485845,1.7382052918561193,2.497285138745709
2021-07-19,0.44651878344252366,1.7812698525835136,2.562175187990521
2021-07-20,0.44408512034429715,1.6801503360658747,2.4035531803991215
2021-07-21,0.4438308181768392,1.801486164056102,2.5653818971433036
2021-07-22,0.443741864565274,1.7834383682695605,2.5391721699016117
2021-07-23,0.442090407557293,1.8616774092149715,2.641585665106976
2021-07-26,0.4417720592825631,1.889516295091882,2.6715635229260863
2021-07-27,0.440271726485551,1.781307092647571,2.5182328262144513
2021-07-28,0.4393755380091419,1.8712065535667648,2.629766111143415
2021-07-29,0.4392970177806135,1.867069273026931,2.6234827150809727
2021-07-30,0.43930020135366965,1.8464029483510747,2.596945825752871
2021-08-02,0.43933057925444513,1.9149701161731512,2.683341124107909
2021-08-03,0.4379942182109295,1.8406315993335105,2.5713293301156717
2021-08-04,0.43806411681313306,1.8460069535354968,2.5792501551044325
2021-08-05,0.43819962266717055,1.8701347994903816,2.613769966583505
2021-08-06,0.43860888767573863,1.8235844857084555,2.562160701265413
2021-08-09,0.4381946731326103,1.8701602604180252,2.613755511888057
2021-08-10,0.43835698578871624,1.8585660839766256,2.600595493935536
2021-08-11,0.4373357470302291,1.9082889498797961,2.6643535689365034
2021-08-12,0.4310879173339518,1.787535233408982,2.4601025164442683
2021-08-13,0.43100117897674195,1.7761268817343734,2.44390989351679
2021-08-16,0.4315666128629002,1.6947887951362903,2.345290240039739
2021-08-17,0.42547515057248975,1.4685526592526763,2.0111163771813896
2021-08-18,0.42553060094976486,1.4480555738079328,1.987405958668618
2021-08-19,0.4258016391962364,1.5163870110844042,2.0760061413225115
2021-08-20,0.4270167175824328,1.5571340801872189,2.137874154835021
2021-08-23,0.4281277686803014,1.5796990544773764,2.174497961167351
2021-08-24,0.4281449930283422,1.5769747562119207,2.171685569901216
2021-08-25,0.4283121328898859,1.6035577247457804,2.2091556196474897
2021-08-26,0.42809443266529257,1.5359817648200988,2.1218310256723947
2021-08-27,0.4285602730611526,1.5778624788535767,2.1820576210471643
2021-08-30,0.42800874514763126,1.5429058725123757,2.130969483492786
2021-08-31,0.4254991594796234,1.4180870165008896,1.9526420539053746
2021-09-01,0.4254392079268453,1.398231981268267,1.925031293876323
2021-09-02,0.4254070579389118,1.3718060655096265,1.890812961878981
2021-09-03,0.4148979672008021,1.6631950201800056,2.377634301005921
2021-09-07,0.4146038880791467,1.7009699735358033,2.420213010881238
2021-09-08,0.4011177028306972,1.9896166793461705,3.033103641497326
2021-09-09,0.39372808941916915,1.8121941431999258,2.716938650930539
2021-09-10,0.39316866205707174,1.8661885557991176,2.7818980464415923
2021-09-13,0.3931727789220261,1.8657691945863981,2.781434815769926
2021-09-14,0.385792063893591,1.7070788059351272,2.4970910965735964
2021-09-15,0.38498581308531055,1.6579462438334012,2.420152301249315
2021-09-16,0.38354575449427125,1.7381585724665736,2.5276826005194404
2021-09-17,0.3833271735252005,1.753488590704556,2.5466776191606573
2021-09-20,0.3853182502001588,1.6547393509949815,2.4089082477890313
2021-09-21,0.3847714760634094,1.6166403867886148,2.350105602292151
2021-09-22,0.3854106194144133,1.712618646673644,2.484803592110084
2021-09-23,0.3806369141240586,1.9374644477276546,2.8460582776958434
2021-09-24,0.38036936386368453,1.8782063673050429,2.76222766595967
2021-09-27,0.378133225414399,1.7525385678288976,2.5694523192320133
2021-09-28,0.37977172693954436,1.599449336552046,2.350358410589077
2021-09-29,0.3797849893052102,1.5639704708175302,2.3028992578325744
2021-09-30,0.3792124485126667,1.5170606467388532,2.2304583790119974
2021-10-01,0.37889852554166914,1.4736174168881269,2.1647924092014454
2021-10-04,0.3767286328481392,1.5321086613904376,2.2722046071444884
2021-10-05,0.37565122969373155,1.500318558207357,2.218694643863377
2021-10-06,0.37567563763601597,1.5341908044995094,2.2656629587387314
2021-10-07,0.3755494153016044,1.5268655075740454,2.25408750371611
2021-10-08,0.3757028572459555,1.5120617211414367,2.2363546471607028
2021-10-11,0.3757280442270594,1.501451886478935,2.2226437121285123
2021-10-12,0.37475078961694613,1.4388989218661636,2.124504538587136
2021-10-13,0.37485261356363714,1.4572728532592742,2.1522178914145536
2021-10-14,0.3758603765977721,1.5261949215414021,2.260067281187923
2021-10-15,0.3756373252054587,1.5991555829518407,2.356752498869714
2021-10-18,0.37573882747944826,1.6925312497122695,2.48449364446628
2021-10-19,0.3749438111572382,1.754978772492835,2.560799831426617
2021-10-20,0.3750266655995783,1.736360780314482,2.5401189725765505
2021-10-21,0.37582130872563085,1.8234881932082831,2.666647663045495
2021-10-22,0.3757301412705787,1.8573366740937358,2.7082837677932474
2021-10-25,0.37883502251022144,1.9558479243781308,2.875495564972729
2021-10-26,0.3802357179186804,2.1285819813306333,3.129607147448882
2021-10-27,0.38002518781113603,2.08086477389091,3.0604876138335495
2021-10-28,0.3764028063472894,2.3101164500944282,3.4308293393032665
2021-10-29,0.3765445976275001,2.31531684593878,3.4398479228107712
2021-11-01,0.37476478371514077,2.527820533064879,3.769884308801428
2021-11-02,0.37467844538381806,2.5131048371793367,3.7470744940731002
2021-11-03,0.37291635786755956,2.4552680325879854,3.643622329231956
2021-11-04,0.38073268058603377,2.5327655796211475,3.8374096518331418
2021-11-05,0.37983269129346764,2.449777157169407,3.708909550576485
2021-11-08,0.3797405023791935,2.4397144252748313,3.6927783033567936
2021-11-09,0.3782416811767365,2.480065913332525,3.7856002838979093
2021-11-10,0.3745316698282095,2.605065086100433,4.037768941167443
2021-11-11,0.3731182310950851,2.5624188261213967,3.9566799667702024
2021-11-12,0.37327780510398045,2.543534400596222,3.939372543757797
2021-11-15,0.37343174191531553,2.533030983648038,3.926239261051333
2021-11-16,0.3735710014734107,2.5459278894990836,3.9477012966301386
2021-11-17,0.3735608745957752,2.460622286089663,3.8315766843864862
2021-11-18,0.3767868277392691,2.516385656581051,3.9522471770977123
2021-11-19,0.3785069091465581,2.588733383170763,4.084438120025006
2021-11-22,0.3780211550993643,2.6119785298967595,4.122049705757055
2021-11-23,0.37813399767701844,2.5067352121442035,3.9743685218100695
2021-11-24,0.3785480709317199,2.537905570517329,4.028194601121292
2021-11-26,0.37985251337091,2.3731645587276,3.77000522632172
2021-11-29,0.3835575561670886,2.478918795763586,3.9764171417862344
2021-11-30,0.38386793955483745,2.4488523803849866,3.9446835926062853
2021-12-01,0.38626779404447625,2.3093928659256138,3.7185513105143495
2021-12-02,0.3863555749051673,2.341570207151332,3.7724405753010726
2021-12-03,0.3901142172907131,2.1756530683523607,3.47656761150826
2021-12-06,0.3905479870824556,2.1013565572941424,3.3760143646207585
2021-12-07,0.39542076960613226,2.188165896086893,3.559343108794873
2021-12-08,0.39537909606407834,2.1918008656152703,3.5635955485075836
2021-12-09,0.3959652586974864,2.1765815327286857,3.5263776709399393
2021-12-10,0.39588513864704816,2.1360977029777652,3.463777741730661
2021-12-13,0.40116714756063737,1.9678362613325286,3.12353889213861
2021-12-14,0.40022269480413514,1.9009552341977918,3.010275194386405
2021-12-15,0.40395487150757553,2.027658206310955,3.241373501514289
2021-12-16,0.4090589157508449,1.8762925594425683,2.93651323777988
2021-12-17,0.4089527526840501,1.7941537845284563,2.8183358282946687
2021-12-20,0.4090856388828173,1.7281617609980557,2.726177190065939
2021-12-21,0.41102386770668303,1.8742119348408086,2.958096970596213
2021-12-22,0.4117919054672426,1.9617748830441482,3.0936160759266094
2021-12-23,0.4119967908574118,2.044603937054227,3.213590070845004
2021-12-27,0.41347506564900927,2.1144936591911927,3.3353634314617073
2021-12-28,0.4138446728707908,2.085021101622406,3.3005112316967007
2021-12-29,0.41400353460957345,2.0566122878780004,3.26645448992213
2021-12-30,0.4138544478749944,1.965617481197888,3.1336424427041725
2021-12-31,0.41399156753666205,1.9461385525009482,3.1137258245289465
2022-01-03,0.4174093417901157,2.0357733845046924,3.2840269624153486
2022-01-04,0.41863946657167705,1.9113014215013404,3.094895836536003
2022-01-05,0.4213233497977502,1.8432579618715448,2.944813838778573
2022-01-06,0.41684927571146996,1.7282672948916207,2.7317827682965587
2022-01-07,0.4180968759983434,1.594654031368309,2.5286734654679006
2022-01-10,0.4181500277766528,1.638093672583838,2.593137088967693
2022-01-11,0.4182404120793862,1.6505369425416163,2.6133998213314964
2022-01-12,0.4184594168819733,1.6787201864260235,2.659415970002043
2022-01-13,0.4219140937412216,1.5811204381623425,2.4722906093518557
2022-01-14,0.4211913365499307,1.6780296472492982,2.610023474163867
2022-01-18,0.42246303169510885,1.558979111556287,2.435099133143829
2022-01-19,0.42355726599324306,1.4294780817371793,2.2411159154313776
2022-01-20,0.42389205520007184,1.310824933519253,2.0637393314523114
2022-01-21,0.4257160943516377,1.2323768658197038,1.9411070965867014
2022-01-24,0.4257085185211058,1.2006296788296125,1.8935705403880156
2022-01-25,0.42715059856716975,1.1386555304262773,1.7965676898202854
2022-01-26,0.4260633508425346,1.2675045206905418,1.9927698810520116
2022-01-27,0.4305566147269444,1.1210969831675175,1.7456173851468517
2022-01-28,0.43132958548924644,1.2422896423605894,1.9297825325116142
2022-01-31,0.4378223796535156,1.3418634089296713,2.115838552978392
2022-02-01,0.43702251848930856,1.28463901968588,2.0219070351124167
2022-02-02,0.4369629241314656,1.3226024827908092,2.076405405701462
2022-02-03,0.4390629058436813,1.211525409143968,1.907115468125258
2022-02-04,0.43946771138993,1.2664601623249818,1.9943152962742359
2022-02-07,0.4371192280471686,1.1793995037420262,1.8472946242740387
2022-02-08,0.4370540575258479,1.2458383916001705,1.9438239631612582
2022-02-09,0.4393823553044886,1.3278507964295458,2.082821040755698
2022-02-10,0.4400856879374127,1.1949363201385672,1.8813213365027166
2022-02-11,0.44505709978922803,1.0603452198719878,1.6435583986569138
2022-02-14,0.4451710944481814,1.0708849525221493,1.6603203730496712
2022-02-15,0.45153396649587774,1.2749108162853433,1.9965029463459991
2022-02-16,0.451426384597171,1.2938093639154016,2.0210115948617196
2022-02-17,0.4569026355262417,1.1239929275877074,1.7340749298756901
2022-02-18,0.45486593291877064,1.1752895782107782,1.825291371419618
2022-02-22,0.45499557954163766,1.1686686461561846,1.8157757165339752
2022-02-23,0.45678913836139173,0.9732201594274252,1.5071266979278952
2022-02-24,0.45237892277602226,1.2892827925286496,2.065829379283727
2022-02-25,0.4522810105130782,1.2829105991345304,2.0551742413272494
2022-02-28,0.4524733905733213,1.290041175671612,2.0674761929141403
2022-03-01,0.451927920000903,1.3075389928759757,2.0977327992365153
2022-03-02,0.45002362754049346,1.4766259733747358,2.370658425735531
2022-03-03,0.44922847120722786,1.5012295034633278,2.41481225814405
2022-03-04,0.4498959512373109,1.460795238791045,2.358949845354316
2022-03-07,0.44902775687344226,1.476737020737866,2.3971967278184616
2022-03-08,0.43472744049251794,1.2897630719389797,2.0270026581219933
2022-03-09,0.43866629944527535,1.4303811574420828,2.265403010511922
2022-03-10,0.4371902951173911,1.29410014720855,2.051347424880225
2022-03-11,0.438409874811356,1.2387940250913885,1.967622114520851
2022-03-14,0.43943375182061956,1.100001842232015,1.7530700018406267
2022-03-15,0.44423754655786435,1.2584390170046176,2.0233268811146705
2022-03-16,0.44793688774598966,1.3531864056526863,2.193779980699399
2022-03-17,0.44473612456856604,1.5251564912299198,2.4828702271940077
2022-03-18,0.44830369348542354,1.6284730080795369,2.672330001859017
2022-03-21,0.44783793041161624,1.6015171289590255,2.625364860677145
2022-03-22,0.4479228947996022,1.6632975516567186,2.719743939338084
2022-03-23,0.4467957762452953,1.70193014376512,2.787884205197402
2022-03-24,0.45225208102930753,1.8458218998789129,3.063456153163629
2022-03-25,0.4525093537261423,1.8023004913903355,3.003296460059657
2022-03-28,0.4537953650608704,1.8743961788751502,3.1323110913025203
2022-03-29,0.4538755960913487,1.8854991160288366,3.1514223278623774
2022-03-30,0.45317918893431075,1.7421171614159545,2.9188494188423317
2022-03-31,0.45315002730798953,1.6622052799255627,2.7955220412420325
2022-04-01,0.4530129337991829,1.5855198295119561,2.6749885363873895
2022-04-04,0.4539781428466885,1.6699529218381521,2.8197401126532755
2022-04-05,0.4571438007783467,1.535740605152327,2.586900212501897
2022-04-06,0.46046399311864056,1.3770386872213929,2.3099757011578155
2022-04-07,0.4604882805038066,1.3693410147776808,2.2961072938268123
2022-04-08,0.459968608806148,1.1732435000751285,1.9625070826140478
2022-04-11,0.4607593035607871,0.9578731024849423,1.5919810472117568
2022-04-12,0.4598176914435582,1.0032941430239606,1.6630825313410618
2022-04-13,0.4591378229568491,0.985967880464454,1.6319456317889194
2022-04-14,0.460973607104867,0.9139632448654594,1.5135759336250403
2022-04-18,0.4600423168862849,1.0410032550155317,1.717527674080809
2022-04-19,0.46033114773413814,1.0997021842346382,1.8128781541319003
2022-04-20,0.4616894478257338,0.9737859280761119,1.6109966504111806
2022-04-21,0.46165798391679136,0.9747560252836006,1.6127016463303958
2022-04-22,0.46186931271689136,0.8705760979595957,1.4467598521277252
2022-04-25,0.46183159943893953,0.8672305374119622,1.4410823802425194
2022-04-26,0.4678565297648365,0.7325873913357868,1.1876256277611714
2022-04-27,0.46793377365956895,0.7260696505294241,1.178221181364992
2022-04-28,0.4704732216695818,0.8410687905794921,1.371253748312218
2022-04-29,0.47287385718644503,0.7395705032489882,1.2105521933590067
2022-05-02,0.4747719534493777,0.8771662351912248,1.4358323240103357
2022-05-03,0.4738544219776808,0.9473076813738907,1.54179252594014
2022-05-04,0.47542435042583037,1.0207238082635994,1.666785086376616
2022-05-05,0.48180938947371427,0.8492586007706194,1.3653290245404628
2022-05-06,0.4816444678216363,0.7938301828836156,1.278216768702463
2022-05-09,0.4884098745078846,0.6871479640282016,1.069789085664403
2022-05-10,0.4893187160963486,0.7578591303244877,1.1819781372874079
2022-05-11,0.49182231352352984,0.7070990633081432,1.0932566314827175
